,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,G-xG,xG_y,Cmp,Cmp,Cmp,Cmp,xA,KP,1/3,PPA,PrgP,Def Pen,Att Pen,Succ%,CrdY,CrdR,Fls,Fld,Off,TklW,Recov,Int,Clr,Err,Team
1,2023-04-23,16:00,Série A,Matchweek 2,Sun,Home,D,2.0,2.0,Palmeiras,1.7,0.8,36.0,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Match Report,,11,3,18.0,0.3,1.7,180.0,73.0,86.0,19.0,0.2,6.0,23.0,3.0,23.0,37.0,15.0,59.1,4,0,19,14,0,6,42.0,7,38.0,0.0,Vasco da Gama
2,2023-05-01,20:00,Série A,Matchweek 3,Mon,Home,L,0.0,1.0,Bahia,0.9,1.2,55.0,,Léo Pelé,4-3-3,Flavio Rodrigues de Souza,Match Report,,15,6,20.8,-0.9,0.9,341.0,146.0,153.0,39.0,0.8,10.0,28.0,12.0,39.0,28.0,22.0,76.5,1,0,19,18,5,6,60.0,8,13.0,0.0,Vasco da Gama
1,2023-04-16,18:30,Série A,Matchweek 1,Sun,Away,L,0.0,1.0,Grêmio,1.2,1.6,55.0,,João Paulo,4-3-3,Wilton Sampaio,Match Report,,16,4,15.9,-1.2,1.2,417.0,221.0,144.0,32.0,1.5,14.0,29.0,14.0,48.0,54.0,25.0,50.0,4,1,16,12,1,14,72.0,12,15.0,0.0,Santos
3,2023-04-23,16:00,Série A,Matchweek 2,Sun,Home,D,0.0,0.0,Atlético Mineiro,0.9,1.2,37.0,,João Paulo,4-4-2,Braulio da Silva Machado,Match Report,,12,2,18.6,-0.9,0.9,276.0,129.0,105.0,31.0,0.9,12.0,21.0,2.0,32.0,69.0,10.0,59.4,3,0,11,20,0,13,52.0,12,28.0,0.0,Santos
4,2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,W,3.0,2.0,América (MG),1.8,1.7,44.0,,Yeferson Soteldo,4-3-3,Anderson Daronco,Match Report,,11,5,18.9,1.2,1.8,232.0,107.0,84.0,32.0,0.7,10.0,24.0,5.0,28.0,57.0,16.0,70.0,3,1,19,15,0,7,55.0,10,32.0,0.0,Santos
5,2023-04-15,21:00,Série A,Matchweek 1,Sat,Home,L,1.0,2.0,Vasco da Gama,1.5,1.5,74.0,,Hulk,4-3-3,Raphael Claus,Match Report,,26,10,18.7,-0.5,1.5,563.0,246.0,269.0,36.0,2.0,19.0,66.0,11.0,64.0,38.0,28.0,62.5,6,0,15,9,2,12,61.0,6,10.0,0.0,Atletico Mineiro
7,2023-04-23,16:00,Série A,Matchweek 2,Sun,Away,D,0.0,0.0,Santos,1.2,0.9,63.0,,Hulk,4-4-2,Braulio da Silva Machado,Match Report,,15,5,23.1,-1.2,1.2,498.0,199.0,232.0,59.0,0.5,8.0,40.0,9.0,49.0,60.0,25.0,61.5,3,0,21,11,1,17,50.0,13,19.0,0.0,Atletico Mineiro
8,2023-04-29,21:00,Série A,Matchweek 3,Sat,Home,W,2.0,1.0,Atl Paranaense,2.1,0.5,59.0,,Hulk,4-4-2,Ramon Abatti Abel,Match Report,,17,7,19.6,-0.1,2.1,521.0,233.0,250.0,35.0,1.5,15.0,35.0,10.0,40.0,65.0,26.0,60.0,3,0,18,11,1,15,62.0,10,18.0,1.0,Atletico Mineiro
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,W,2.0,1.0,Bahia,2.0,0.7,55.0,,Aderlan Silva,4-2-3-1,Maguielson Lima Barbosa,Match Report,,13,7,20.8,0.0,2.0,367.0,178.0,135.0,35.0,0.6,8.0,37.0,6.0,47.0,56.0,14.0,63.6,3,0,20,13,2,15,66.0,12,18.0,0.0,Bragantino
3,2023-04-22,17:30,Série A,Matchweek 2,Sat,Away,D,1.0,1.0,Cuiabá,0.9,1.2,66.0,,Aderlan Silva,4-3-3,Caio Max Augusto Vieira,Match Report,,7,2,20.3,0.1,0.9,447.0,232.0,157.0,41.0,0.6,6.0,39.0,5.0,44.0,69.0,14.0,50.0,3,0,21,16,2,8,51.0,8,23.0,0.0,Bragantino
4,2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,L,0.0,3.0,Cruzeiro,1.1,2.0,46.0,,Aderlan Silva,4-2-3-1,Braulio da Silva Machado,Match Report,,12,5,16.9,-1.1,1.1,326.0,147.0,138.0,31.0,1.0,10.0,27.0,7.0,41.0,60.0,15.0,31.8,5,2,18,8,1,3,43.0,4,11.0,0.0,Bragantino
1,2023-04-16,16:00,Série A,Matchweek 1,Sun,Home,W,3.0,0.0,Coritiba,1.4,0.4,58.0,42848.0,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,14,6,23.0,1.6,1.4,509.0,216.0,225.0,61.0,0.8,12.0,68.0,11.0,70.0,41.0,20.0,40.7,3,0,20,17,1,18,59.0,12,13.0,0.0,Flamengo
3,2023-04-23,11:00,Série A,Matchweek 2,Sun,Away,L,1.0,2.0,Internacional,1.6,1.1,64.0,,Everton Ribeiro,4-1-2-1-2◆,Ramon Abatti Abel,Match Report,,16,4,15.8,-0.6,1.6,547.0,249.0,247.0,45.0,0.9,11.0,49.0,4.0,56.0,60.0,23.0,50.0,0,0,13,14,3,5,40.0,7,14.0,0.0,Flamengo
4,2023-04-30,16:00,Série A,Matchweek 3,Sun,Home,L,2.0,3.0,Botafogo (RJ),3.1,1.9,74.0,53138.0,Gabriel Barbosa,3-4-3,Edina Alves Batista,Match Report,,24,13,15.7,-1.1,3.1,592.0,258.0,276.0,45.0,2.7,20.0,63.0,19.0,84.0,29.0,37.0,45.5,4,0,14,12,3,9,49.0,10,7.0,1.0,Flamengo
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,W,2.0,0.0,Goiás,0.8,0.9,44.0,,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Match Report,,11,3,17.0,1.2,0.8,306.0,111.0,144.0,44.0,0.7,9.0,24.0,6.0,26.0,44.0,26.0,54.5,2,0,19,17,1,8,45.0,12,16.0,0.0,Atletico Paranaense
3,2023-04-22,16:00,Série A,Matchweek 2,Sat,Away,L,0.0,2.0,Fluminense,0.7,0.7,38.0,38598.0,Thiago Heleno,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,10,1,22.3,-0.7,0.7,294.0,152.0,103.0,34.0,1.1,5.0,33.0,7.0,36.0,58.0,10.0,50.0,3,0,20,13,1,9,38.0,13,28.0,0.0,Atletico Paranaense
4,2023-04-29,21:00,Série A,Matchweek 3,Sat,Away,L,1.0,2.0,Atlético Mineiro,0.5,2.1,41.0,,Thiago Heleno,4-1-4-1,Ramon Abatti Abel,Match Report,,8,3,24.5,0.5,0.5,324.0,99.0,180.0,43.0,0.7,6.0,25.0,6.0,34.0,52.0,16.0,66.7,3,1,11,18,3,6,57.0,12,14.0,0.0,Atletico Paranaense
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Away,L,0.0,2.0,Atl Paranaense,0.9,0.8,56.0,,Tadeu,4-2-3-1,Rafael Rodrigo Klein,Match Report,,16,2,19.9,-0.9,0.9,428.0,161.0,197.0,54.0,0.7,15.0,28.0,7.0,38.0,79.0,13.0,65.2,3,0,18,18,1,4,50.0,10,26.0,0.0,Goias
3,2023-04-23,19:00,Série A,Matchweek 2,Sun,Home,W,3.0,1.0,Corinthians,1.2,0.5,52.0,8508.0,Tadeu,4-2-3-1,Bruno Arleu de Araujo,Match Report,,18,7,20.7,1.8,1.2,358.0,138.0,156.0,52.0,0.8,12.0,38.0,6.0,38.0,48.0,13.0,53.6,5,0,21,21,4,8,50.0,14,13.0,0.0,Goias
4,2023-04-30,18:30,Série A,Matchweek 3,Sun,Away,L,0.0,1.0,Internacional,0.7,0.9,44.0,,Tadeu,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,14,1,17.1,-0.7,0.7,302.0,101.0,156.0,42.0,0.4,9.0,22.0,2.0,31.0,80.0,18.0,50.0,2,1,10,15,4,12,33.0,6,24.0,0.0,Goias
0,2023-04-15,18:30,Série A,Matchweek 1,Sat,Away,L,1.0,2.0,Bragantino,0.7,2.0,45.0,,Kanu,3-4-3,Maguielson Lima Barbosa,Match Report,,9,3,19.2,0.3,0.7,245.0,92.0,99.0,47.0,0.6,5.0,22.0,4.0,30.0,65.0,12.0,54.5,1,0,13,20,3,10,58.0,12,16.0,3.0,Bahia
1,2023-04-24,20:00,Série A,Matchweek 2,Mon,Home,L,1.0,2.0,Botafogo (RJ),0.9,0.2,58.0,27822.0,Everaldo Stum,5-4-1,Raphael Claus,Match Report,,13,5,18.6,0.1,0.9,439.0,211.0,168.0,46.0,0.5,9.0,40.0,8.0,40.0,43.0,19.0,41.7,1,0,18,9,0,14,61.0,12,15.0,0.0,Bahia
2,2023-05-01,20:00,Série A,Matchweek 3,Mon,Away,W,1.0,0.0,Vasco da Gama,1.2,0.9,45.0,,Kanu,5-4-1,Flavio Rodrigues de Souza,Match Report,,12,6,17.4,-0.2,1.2,289.0,126.0,119.0,30.0,0.6,10.0,18.0,9.0,33.0,84.0,17.0,70.0,4,0,19,18,0,7,50.0,12,30.0,0.0,Bahia
1,2023-04-16,16:00,Série A,Matchweek 1,Sun,Home,W,2.0,1.0,Cruzeiro,1.5,0.5,40.0,41304.0,Cássio,4-2-3-1,Anderson Daronco,Match Report,,12,7,20.7,0.5,1.5,323.0,157.0,129.0,27.0,0.3,5.0,27.0,2.0,31.0,46.0,12.0,45.5,4,0,14,11,4,13,51.0,12,22.0,0.0,Corinthians
3,2023-04-23,19:00,Série A,Matchweek 2,Sun,Away,L,1.0,3.0,Goiás,0.5,1.2,48.0,8508.0,Cássio,4-2-3-1,Bruno Arleu de Araujo,Match Report,,10,2,19.5,0.5,0.5,333.0,147.0,153.0,32.0,0.3,8.0,18.0,3.0,27.0,60.0,13.0,44.4,2,0,23,20,1,12,40.0,13,31.0,1.0,Corinthians
